date,avgtempC
2019-01-01,8
2019-01-02,5
2019-01-03,4
2019-01-04,3
2019-01-05,4
2019-01-06,5
2019-01-07,6
2019-01-08,8
2019-01-09,5
2019-01-10,3
2019-01-11,5
2019-01-12,7
2019-01-13,10
2019-01-14,8
2019-01-15,7
2019-01-16,5
2019-01-17,5
2019-01-18,2
2019-01-19,2
2019-01-20,2
2019-01-21,-0
2019-01-22,0
2019-01-23,0
2019-01-24,-0
2019-01-25,2
2019-01-26,7
2019-01-27,6
2019-01-28,4
2019-01-29,2
2019-01-30,1
2019-01-31,-0
2019-02-01,4
2019-02-02,3
2019-02-03,3
2019-02-04,2
2019-02-05,3
2019-02-06,7
2019-02-07,8
2019-02-08,8
2019-02-09,9
2019-02-10,9
2019-02-11,6
2019-02-12,4
2019-02-13,5
2019-02-14,6
2019-02-15,8
2019-02-16,8
2019-02-17,9
2019-02-18,9
2019-02-19,9
2019-02-20,8
2019-02-21,10
2019-02-22,10
2019-02-23,10
2019-02-24,9
2019-02-25,10
2019-02-26,11
2019-02-27,12
2019-02-28,10
2019-03-01,10
2019-03-02,10
2019-03-03,12
2019-03-04,9
2019-03-05,8
2019-03-06,11
2019-03-07,9
2019-03-08,9
2019-03-09,11
2019-03-10,11
2019-03-11,7
2019-03-12,8
2019-03-13,7
2019-03-14,9
2019-03-15,12
2019-03-16,11
2019-03-17,9
2019-03-18,7
2019-03-19,8
2019-03-20,9
2019-03-21,11
2019-03-22,12
2019-03-23,10
2019-03-24,10
2019-03-25,8
2019-03-26,8
2019-03-27,9
2019-03-28,9
2019-03-29,12
2019-03-30,13
2019-03-31,14
2019-04-01,14
2019-04-02,12
2019-04-03,7
2019-04-04,7
2019-04-05,9
2019-04-06,11
2019-04-07,11
2019-04-08,12
2019-04-09,11
2019-04-10,10
2019-04-11,9
2019-04-12,7
2019-04-13,6
2019-04-14,6
2019-04-15,9
2019-04-16,11
2019-04-17,12
2019-04-18,16
2019-04-19,18
2019-04-20,18
2019-04-21,18
2019-04-22,18
2019-04-23,17
2019-04-24,15
2019-04-25,13
2019-04-26,12
2019-04-27,10
2019-04-28,9
2019-04-29,11
2019-04-30,12
2019-05-01,13
2019-05-02,12
2019-05-03,12
2019-05-04,7
2019-05-05,8
2019-05-06,9
2019-05-07,11
2019-05-08,13
2019-05-09,12
2019-05-10,12
2019-05-11,12
2019-05-12,11
2019-05-13,12
2019-05-14,13
2019-05-15,13
2019-05-16,13
2019-05-17,15
2019-05-18,15
2019-05-19,15
2019-05-20,14
2019-05-21,15
2019-05-22,16
2019-05-23,18
2019-05-24,17
2019-05-25,16
2019-05-26,16
2019-05-27,16
2019-05-28,14
2019-05-29,15
2019-05-30,17
2019-05-31,18
2019-06-01,23
2019-06-02,24
2019-06-03,19
2019-06-04,20
2019-06-05,14
2019-06-06,15
2019-06-07,15
2019-06-08,15
2019-06-09,16
2019-06-10,15
2019-06-11,14
2019-06-12,14
2019-06-13,15
2019-06-14,18
2019-06-15,18
2019-06-16,18
2019-06-17,20
2019-06-18,22
2019-06-19,21
2019-06-20,17
2019-06-21,17
2019-06-22,19
2019-06-23,23
2019-06-24,25
2019-06-25,26
2019-06-26,26
2019-06-27,25
2019-06-28,24
2019-06-29,28
2019-06-30,23
2019-07-01,20
2019-07-02,19
2019-07-03,19
2019-07-04,21
2019-07-05,23
2019-07-06,24
2019-07-07,20
2019-07-08,18
2019-07-09,18
2019-07-10,21
2019-07-11,23
2019-07-12,20
2019-07-13,20
2019-07-14,17
2019-07-15,18
2019-07-16,20
2019-07-17,22
2019-07-18,20
2019-07-19,22
2019-07-20,22
2019-07-21,22
2019-07-22,26
2019-07-23,29
2019-07-24,31
2019-07-25,33
2019-07-26,25
2019-07-27,19
2019-07-28,19
2019-07-29,22
2019-07-30,21
2019-07-31,19
2019-08-01,21
2019-08-02,22
2019-08-03,21
2019-08-04,24
2019-08-05,22
2019-08-06,20
2019-08-07,21
2019-08-08,23
2019-08-09,23
2019-08-10,21
2019-08-11,19
2019-08-12,18
2019-08-13,16
2019-08-14,18
2019-08-15,19
2019-08-16,20
2019-08-17,19
2019-08-18,20
2019-08-19,19
2019-08-20,18
2019-08-21,19
2019-08-22,21
2019-08-23,22
2019-08-24,24
2019-08-25,26
2019-08-26,27
2019-08-27,26
2019-08-28,24
2019-08-29,21
2019-08-30,21
2019-08-31,23
2019-09-01,18
2019-09-02,17
2019-09-03,18
2019-09-04,17
2019-09-05,15
2019-09-06,16
2019-09-07,16
2019-09-08,14
2019-09-09,15
2019-09-10,17
2019-09-11,18
2019-09-12,20
2019-09-13,19
2019-09-14,21
2019-09-15,22
2019-09-16,20
2019-09-17,18
2019-09-18,15
2019-09-19,15
2019-09-20,16
2019-09-21,21
2019-09-22,19
2019-09-23,18
2019-09-24,18
2019-09-25,16
2019-09-26,18
2019-09-27,17
2019-09-28,16
2019-09-29,17
2019-09-30,17
2019-10-01,18
2019-10-02,14
2019-10-03,11
2019-10-04,15
2019-10-05,15
2019-10-06,15
2019-10-07,14
2019-10-08,14
2019-10-09,13
2019-10-10,15
2019-10-11,16
2019-10-12,17
2019-10-13,19
2019-10-14,18
2019-10-15,15
2019-10-16,14
2019-10-17,14
2019-10-18,15
2019-10-19,14
2019-10-20,12
2019-10-21,13
2019-10-22,12
2019-10-23,14
2019-10-24,15
2019-10-25,14
2019-10-26,16
2019-10-27,11
2019-10-28,9
2019-10-29,10
2019-10-30,9
2019-10-31,10
2019-11-01,13
2019-11-02,14
2019-11-03,12
2019-11-04,12
2019-11-05,10
2019-11-06,10
2019-11-07,9
2019-11-08,8
2019-11-09,7
2019-11-10,7
2019-11-11,7
2019-11-12,7
2019-11-13,7
2019-11-14,6
2019-11-15,4
2019-11-16,6
2019-11-17,6
2019-11-18,5
2019-11-19,5
2019-11-20,4
2019-11-21,6
2019-11-22,8
2019-11-23,10
2019-11-24,9
2019-11-25,9
2019-11-26,11
2019-11-27,11
2019-11-28,11
2019-11-29,8
2019-11-30,6
